INFO | 2022-06-24 12:49:25 | User_postgres_store: UCDD | UI  2 
INFO | 2022-06-24 12:49:44 | User_postgres_store: UCDD | UI  2 
INFO | 2022-06-25 13:11:38 | User_postgres_store: UIR  
INFO | 2022-06-25 13:17:00 | User_postgres_store: UIR  
INFO | 2022-06-25 13:20:30 | User_postgres_store: UIR  
INFO | 2022-06-25 13:22:34 | User_postgres_store: UIR  
INFO | 2022-06-25 13:24:41 | User_postgres_store: UIR  
INFO | 2022-06-25 13:42:13 | User_postgres_store: UIR  
INFO | 2022-06-25 13:48:56 | User_postgres_store: UIR  
INFO | 2022-06-25 14:00:10 | User_postgres_store: UIR  
INFO | 2022-06-25 14:02:12 | User_postgres_store: UIR  
INFO | 2022-06-25 15:17:55 | User_postgres_store: UIR  
INFO | 2022-06-25 15:21:23 | User_postgres_store: UIR  
INFO | 2022-06-25 15:22:05 | User_postgres_store: UIR  
INFO | 2022-06-25 15:24:04 | User_postgres_store: UIR  
INFO | 2022-06-25 15:27:07 | User_postgres_store: UCDD | UI  5 
INFO | 2022-06-25 15:28:03 | User_postgres_store: UCDD | UI  5 
INFO | 2022-06-25 15:29:44 | User_postgres_store: UCDD | UI  5 
INFO | 2022-06-27 12:59:10 | User_postgres_store: UIR  
INFO | 2022-07-03 18:32:30 | User_postgres_store: UIR  
INFO | 2022-07-03 18:34:32 | User_postgres_store: UIR  
INFO | 2022-07-03 18:34:58 | User_postgres_store: UIR  
INFO | 2022-07-03 18:53:21 | User_postgres_store: UIR  
INFO | 2022-07-03 19:29:39 | User_postgres_store: UIR  
INFO | 2022-07-03 19:38:12 | User_postgres_store: UIR  
INFO | 2022-07-03 19:38:45 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:13:52 | User_postgres_store: UIR  
INFO | 2022-07-08 01:44:04 | User_postgres_store: UIR  
